Name,Period,Diet,Country,Name_kr,Continent
Majungasaurus,Cretaceous,carnivore,Madagascar,마중가사우루스,Africa
Malarguesaurus,Cretaceous,herbivore,South America,말라르게사우루스,South America
Malawisaurus,Cretaceous,herbivore,etc,말라위사우루스,etc
Maleevus,Cretaceous,herbivore,Mongolia,말리에부스,Asia
Mamenchisaurus,Jurassic,herbivore,China,마멘치사우루스,Asia
Mandschurosaurus,Cretaceous,herbivore,China,만주로사우루스,Asia
Manidens,Jurassic,omnivore,South America,마니덴스,South America
Mantellisaurus,Cretaceous,herbivore,etc,만텔리사우루스,etc
Mantellodon,Cretaceous,herbivore,England,만텔로돈,Europe
Mapusaurus,Cretaceous,carnivore,South America,마푸사우루스,South America
Marisaurus,Cretaceous,herbivore,Pakistan,마리사우루스,Asia
Marshosaurus,Jurassic,carnivore,North America,마르쇼사우루스,North America
Martharaptor,Cretaceous,carnivore,North America,마르타랩토르,North America
Masiakasaurus,Cretaceous,carnivore,Madagascar,마시아카사우루스,Africa
Massospondylus,Jurassic,herbivore,South Africa,마소스폰디루스,Africa
Matheronodon,Cretaceous,herbivore,France,마테로노돈,Europe
Maxakalisaurus,Cretaceous,herbivore,South America,마샤크라리사우루스,South America
Medusaceratops,Cretaceous,herbivore,North America,메두사케라톱스,North America
Megacervixosaurus,Cretaceous,herbivore,China,메가케르비크소사우루스,Asia
Megalosaurus,Jurassic,carnivore,England,메갈로사우루스,Europe
Megaraptor,Cretaceous,carnivore,South America,메가랩토르,South America
Mei,Cretaceous,carnivore,China,메이,Asia
Melanorosaurus,Triassic,herbivore,South Africa,멜라노로사우루스,Africa
Mendozasaurus,Cretaceous,herbivore,South America,멘도사우루스,South America
Mercuriceratops,Cretaceous,herbivore,North America,머큐리케라톱스,North America
Merosaurus,Jurassic,carnivore,England,메로사우루스,Europe
Metriacanthosaurus,Jurassic,carnivore,England,메트리아칸토사우루스,Europe
Microcephale,Cretaceous,herbivore,North America,마이크로세팔레,North America
Microceratus,Cretaceous,herbivore,Mongolia,마이크로세라투스,Asia
Microcoelus,Cretaceous,herbivore,South America,마이크로코에루스,South America
Microdontosaurus,unknown,herbivore,China,마이크로돈토사우루스,Asia
Microhadrosaurus,Cretaceous,herbivore,China,마이크로하드로사우루스,Asia
Micropachycephalosaurus,Cretaceous,herbivore,China,마이크로파키세팔로사우루스,Asia
Microraptor,Cretaceous,carnivore,China,마이크로랩토르,Asia
Microvenator,Cretaceous,carnivore,North America,마이크로베나토르,North America
Minmi,Cretaceous,herbivore,Australia,민미,Australia
Minotaurasaurus,Cretaceous,herbivore,Mongolia,미노타우라사우루스,Asia
Miragaia,Jurassic,herbivore,Portugal,미라가이아,Europe
Mirischia,Cretaceous,carnivore,South America,미리스키아,South America
Moabosaurus,Cretaceous,herbivore,North America,모아보사우루스,North America
Mochlodon,Cretaceous,herbivore,etc,모클로돈,etc
Mojoceratops,Cretaceous,herbivore,North America,모조케라톱스,North America
Mongolosaurus,Cretaceous,herbivore,China,몽골로사우루스,Asia
Monkonosaurus,Jurassic,herbivore,China,몽코노사우루스,Asia
Monoclonius,Cretaceous,herbivore,North America,모노클로니우스,North America
Monolophosaurus,Jurassic,carnivore,China,모놀로포사우루스,Asia
Mononykus,Cretaceous,carnivore,Mongolia,모노니쿠스,Asia
Montanoceratops,Cretaceous,herbivore,North America,몬타노케라톱스,North America
Morelladon,Cretaceous,herbivore,Spain,모렐라돈,Europe
Morinosaurus,Cretaceous,herbivore,France,모리노사우루스,Europe
Moros,Cretaceous,carnivore,North America,모로스,North America
Morrosaurus,Cretaceous,herbivore,Antarctica,모로사우루스,Antarctica
Mosaiceratops,Cretaceous,herbivore,China,모사이케라톱스,Asia
Mussaurus,Triassic,herbivore,South America,무사우루스,South America
Muttaburrasaurus,Cretaceous,herbivore,Australia,무타부라사우루스,Australia
Muyelensaurus,Cretaceous,herbivore,South America,무옐렌사우루스,South America
Mymoorapelta,Jurassic,herbivore,North America,마이무라펠타,North America
Naashoibitosaurus,Cretaceous,herbivore,North America,나아쇼이비토사우루스,North America
Nambalia,Triassic,omnivore,India,남발리아,Asia
Nankangia,Cretaceous,omnivore,China,난칭이아,Asia
Nanningosaurus,Cretaceous,herbivore,China,난닝고사우루스,Asia
Nanosaurus,Jurassic,herbivore,North America,나노사우루스,North America
Nanotyrannus,Cretaceous,carnivore,North America,나노티라누스,North America
Nanshiungosaurus,Cretaceous,herbivore,China,난슝고사우루스,Asia
Nanuqsaurus,Cretaceous,carnivore,North America,나눅사우루스,North America
Nanyangosaurus,Cretaceous,herbivore,China,난양고사우루스,Asia
Narambuenatitan,Cretaceous,herbivore,South America,나람부에나타이탄,South America
Nasutoceratops,Cretaceous,herbivore,North America,나수토케라톱스,North America
Nebulasaurus,Jurassic,herbivore,China,네뷸라사우루스,Asia
Nedcolbertia,Cretaceous,carnivore,North America,네드콜버티아,North America
Nedoceratops,Cretaceous,herbivore,North America,네도케라톱스,North America
Neimongosaurus,Cretaceous,herbivore,China,내이몽고사우루스,Asia
Nemegtomaia,Cretaceous,carnivore,Mongolia,네멕토마이아,Asia
Nemegtonykus,Cretaceous,carnivore,Mongolia,네메그토니쿠스,Asia
Nemegtosaurus,Cretaceous,herbivore,Mongolia,네메그토사우루스,Asia
Neosodon,Jurassic,herbivore,France,네오소돈,Europe
Neovenator,Cretaceous,carnivore,England,네오베나토르,Europe
Neuquenraptor,Cretaceous,carnivore,South America,네우켄랩토르,South America
Neuquensaurus,Cretaceous,herbivore,South America,네우쿤사우루스,South America
Newtonsaurus,Triassic,carnivore,England,뉴턴사우루스,Europe
Ngexisaurus,Jurassic,carnivore,China,엔젝시사우루스,Asia
Ngwevu,Jurassic,herbivore,South Africa,응웨부,Africa
Nigersaurus,Cretaceous,herbivore,Niger,니제르사우루스,Africa
Ningyuansaurus,Cretaceous,omnivore,China,닝위안사우루스,Asia
Niobrarasaurus,Cretaceous,herbivore,North America,나이오브라라사우루스,North America
Nipponosaurus,Cretaceous,herbivore,Russia,니혼사우루스,Asia
Noasaurus,Cretaceous,carnivore,South America,노아사우루스,South America
Nodocephalosaurus,Cretaceous,herbivore,North America,노도세팔로사우루스,North America
Nodosaurus,Cretaceous,herbivore,North America,노도사우루스,North America
Nomingia,Cretaceous,carnivore,Mongolia,노밍기아,Asia
Nopcsaspondylus,Cretaceous,herbivore,South America,노프카스폰디루스,South America
Normanniasaurus,Cretaceous,herbivore,France,노르마니아사우루스,Europe
Nothronychus,Cretaceous,herbivore,North America,노트로니쿠스,North America
Notoceratops,Cretaceous,herbivore,South America,노토케라톱스,South America
Notocolossus,Cretaceous,herbivore,South America,노토콜로서스,South America
Notohypsilophodon,Cretaceous,herbivore,South America,노토힙실로포돈,South America
Nqwebasaurus,Cretaceous,omnivore,South Africa,엔크웨바사우루스,Africa
Nurosaurus,Cretaceous,herbivore,China,누로사우루스,Asia
Nuthetes,Cretaceous,carnivore,England,누테테스,Europe
Nyasasaurus,Triassic,carnivore,Tanzania,냐사사우루스,Africa
Ohmdenosaurus,Jurassic,herbivore,Germany,옴데노사우루스,Europe
Ojoceratops,Cretaceous,herbivore,North America,오히세라톱스,North America
Ojoraptorsaurus,Cretaceous,omnivore,North America,오히랩토르사우루스,North America
Olorotitan,Cretaceous,herbivore,Russia,올로로티탄,Asia
Omeisaurus,Jurassic,herbivore,China,오메이사우루스,Asia
Oohkotokia,Cretaceous,herbivore,North America,우코토키아,North America
Opisthocoelicaudia,Cretaceous,herbivore,Mongolia,오피스토코엘리코디아,Asia
Oplosaurus,Cretaceous,herbivore,England,오플로사우루스,Europe
Orcomimus,Cretaceous,omnivore,North America,오크로미무스,North America
Orkoraptor,Cretaceous,carnivore,South America,오크라토프토르,South America
Ornithodesmus,Cretaceous,carnivore,England,오르니토데스무스,Europe
Ornitholestes,Jurassic,carnivore,North America,오르니톨레스테스,North America
Ornithomimoides,Cretaceous,carnivore,India,오르니토미모이데스,Asia
Ornithomimus,Cretaceous,omnivore,North America,오르니토미무스,North America
Ornithopsis,Cretaceous,herbivore,England,오르니토피스,Europe
Orodromeus,Cretaceous,herbivore,North America,오로드로메우스,North America
Orthogoniosaurus,Cretaceous,carnivore,India,오르토고니오사우루스,Asia
Orthomerus,Cretaceous,herbivore,etc,토메루스,etc
Oryctodromeus,Cretaceous,herbivore,North America,오릭토드로메우스,North America
Oshanosaurus,Jurassic,herbivore,China,오샤노사우루스,Asia
Osmakasaurus,Cretaceous,herbivore,North America,오스마카사우루스,North America
Ostafrikasaurus,Jurassic,carnivore,Tanzania,오스타프리카사우루스,Africa
Othnielia,Jurassic,herbivore,North America,오티니리아,North America
Othnielosaurus,Jurassic,herbivore,North America,오티니엘로사우루스,North America
Otogosaurus,Cretaceous,herbivore,China,오토고사우루스,Asia
Ouranosaurus,Cretaceous,herbivore,Niger,우라노사우루스,Africa
Overosaurus,Cretaceous,herbivore,South America,오베로사우루스,South America
Oviraptor,Cretaceous,omnivore,Mongolia,오비랍토르,Asia
Owenodon,Cretaceous,herbivore,England,오웨노돈,Europe
Oxalaia,Cretaceous,carnivore,South America,옥살라이아,South America
Ozraptor,Jurassic,carnivore,Australia,오즈랩토르,Australia
Pachycephalosaurus,Cretaceous,herbivore,North America,파키케팔로사우루스,North America
Pachyrhinosaurus,Cretaceous,herbivore,North America,파키리노사우루스,North America
Pachysuchus,Jurassic,herbivore,China,파키수쿠스,Asia
Padillasaurus,Cretaceous,herbivore,South America,파딜라사우루스,South America
Pakisaurus,Cretaceous,herbivore,Pakistan,파키사우루스,Asia
Palaeopteryx,Jurassic,carnivore,North America,팔레옵테릭스,North America
Palaeoscincus,Cretaceous,herbivore,North America,팔레오스킨쿠스,North America
Paludititan,Cretaceous,herbivore,Romania,팔루디타이탄,Europe
Pampadromaeus,Triassic,herbivore,South America,팜파드로메우스,South America
Pamparaptor,Cretaceous,carnivore,South America,팜파랩토르,South America
Panamericansaurus,Cretaceous,herbivore,South America,파나메리칸사우루스,South America
Panoplosaurus,Cretaceous,herbivore,North America,파노플로사우루스,North America
Panphagia,Triassic,omnivore,South America,판파기아,South America
Pantydraco,Triassic,herbivore,England,판타이드라코,Europe
Paralititan,Cretaceous,herbivore,Egypt,파랄리타이탄,Africa
Paranthodon,Cretaceous,herbivore,South Africa,파란토돈,Africa
Pararhabdodon,Cretaceous,herbivore,Spain,파라랍도돈,Europe
Parasaurolophus,Cretaceous,herbivore,North America,파라사우롤로푸스,North America
Parksosaurus,Cretaceous,herbivore,North America,파크소사우루스,North America
Paronychodon,Cretaceous,carnivore,North America,파로니코돈,North America
Parvicursor,Cretaceous,carnivore,Mongolia,파르비쿠르소르,Asia
Patagonykus,Cretaceous,carnivore,South America,파타곤이쿠스,South America
Patagosaurus,Jurassic,herbivore,South America,파타고사우루스,South America
Pawpawsaurus,Cretaceous,herbivore,North America,포포사우루스,North America
Pectinodon,Cretaceous,carnivore,North America,펙티노돈,North America
Pedopenna,Jurassic,carnivore,China,페도페나,Asia
Pegomastax,Jurassic,omnivore,South Africa,페고마스탁스,Africa
Peishansaurus,Cretaceous,herbivore,China,페이샨사우루스,Asia
Pelecanimimus,Cretaceous,carnivore,Spain,펠리카니미무스,Europe
Pellegrinisaurus,Cretaceous,herbivore,South America,펠레그리니사우루스,South America
Peloroplites,Cretaceous,herbivore,North America,펠로로플리테스,North America
Pelorosaurus,Cretaceous,herbivore,England,펠로로사우루스,Europe
Penelopognathus,Cretaceous,herbivore,China,페넬로포그나투스,Asia
Pentaceratops,Cretaceous,herbivore,North America,펜타케라톱스,North America
Petrobrasaurus,Cretaceous,herbivore,South America,페트로브라사우루스,South America
Phaedrolosaurus,Cretaceous,carnivore,China,페이드로로사우루스,Asia
Philovenator,Cretaceous,omnivore,China,필로베나토르,Asia
Phuwiangosaurus,Cretaceous,herbivore,Thail,푸위안고사우루스,Asia
Phuwiangvenator,Cretaceous,carnivore,Thail,푸위안베나토르,Asia
Phyllodon,Jurassic,herbivore,Portugal,필로돈,Europe
Piatnitzkysaurus,Jurassic,carnivore,South America,피아트니츠키사우루스,South America
Pinacosaurus,Cretaceous,herbivore,Mongolia,피나코사우루스,Asia
Pitekunsaurus,Cretaceous,herbivore,South America,피테쿤사우루스,South America
Piveteausaurus,Jurassic,carnivore,France,피베토사우루스,Europe
Planicoxa,Cretaceous,herbivore,North America,플라니코사,North America
Plateosauravus,Triassic,herbivore,South Africa,플라테오사우라부스,Africa
Plateosaurus,Triassic,herbivore,Germany,플라테오사우루스,Europe
Platyceratops,Cretaceous,herbivore,Mongolia,플라티케라톱스,Asia
Plesiohadros,Cretaceous,herbivore,Mongolia,플레시오하드로스,Asia
Pneumatoraptor,Cretaceous,carnivore,etc,프뉴마토랩토르,etc
Podokesaurus,Jurassic,carnivore,North America,포도케사우루스,North America
Poekilopleuron,Jurassic,carnivore,England,포이키로플레우론,Europe
Polacanthus,Cretaceous,herbivore,England,폴라칸투스,Europe
Polyonax,Cretaceous,herbivore,North America,폴리오낙스,North America
Pradhania,Jurassic,omnivore,India,프라드니아,Asia
Prenocephale,Cretaceous,herbivore,Mongolia,프레노세팔레,Asia
Prenoceratops,Cretaceous,herbivore,North America,프레노세라톱스,North America
Priconodon,Cretaceous,herbivore,North America,프리코노돈,North America
Priodontognathus,Jurassic,herbivore,England,프리오돈토그나투스,Europe
Proa,Cretaceous,herbivore,Spain,프로아,Europe
Probactrosaurus,Cretaceous,herbivore,Mongolia,프로박트로사우루스,Asia
Proceratosaurus,Jurassic,carnivore,England,프로세라토사우루스,Europe
Procompsognathus,Triassic,carnivore,Germany,프로콤프소그나투스,Europe
Prodeinodon,Cretaceous,carnivore,Mongolia,프로데이노돈,Asia
Propanoplosaurus,Cretaceous,herbivore,North America,프로파노플로사우루스,North America
Proplanicoxa,Cretaceous,herbivore,England,프로플라니코사,Europe
Prosaurolophus,Cretaceous,herbivore,North America,프로사우로로푸스,North America
Protarchaeopteryx,Cretaceous,herbivore,China,프로아르케옵테릭스,Asia
Protoavis,Triassic,carnivore,North America,프로토아비스,North America
Protoceratops,Cretaceous,herbivore,Mongolia,프로토세라톱스,Asia
Protognathosaurus,Jurassic,herbivore,China,프로토그나토사우루스,Asia
Protohadros,Cretaceous,herbivore,North America,프로토하드로스,North America
Psittacosaurus,Cretaceous,herbivore,China,피사타코사우루스,Asia
Pteropelyx,Cretaceous,herbivore,North America,테로펠릭스,North America
Pterospondylus,Triassic,carnivore,Germany,테로스폰디루스,Europe
Puertasaurus,Cretaceous,herbivore,South America,푸에르타사우루스,South America
Pukyongosaurus,Cretaceous,herbivore,South Korea,푸경고사우루스,Asia
Pycnonemosaurus,Cretaceous,carnivore,South America,픽노네모사우루스,South America
Pyroraptor,Cretaceous,carnivore,France,파이로랩토르,Europe
Qantassaurus,Cretaceous,herbivore,Australia,칸타사우루스,Australia
Qianzhousaurus,Cretaceous,carnivore,China,치안저우사우루스,Asia
Qiaowanlong,Cretaceous,herbivore,China,치아오완룽,Asia
Qingxiusaurus,Cretaceous,herbivore,China,칭시우사우루스,Asia
Qinlingosaurus,Cretaceous,herbivore,China,칭린사우루스,Asia
Qiupalong,Cretaceous,omnivore,Mongolia,치우팔룽,Asia
Quaesitosaurus,Cretaceous,herbivore,Mongolia,퀘시토사우루스,Asia
Quetecsaurus,Cretaceous,herbivore,South America,쿠에테크사우루,South America
Quilmesaurus,Cretaceous,carnivore,South America,퀸레사우루스,South America
Rahiolisaurus,Cretaceous,carnivore,India,라히올리사우루스,Asia
Rahonavis,Cretaceous,carnivore,Madagascar,라오나비스,Africa
Rajasaurus,Cretaceous,carnivore,India,라자사우루스,Asia
Rapator,Cretaceous,carnivore,Australia,라파토르,Australia
Rapetosaurus,Cretaceous,herbivore,Madagascar,라페토사우루스,Africa
Raptorex,Cretaceous,carnivore,etc,랍토렉스,etc
Ratchasimasaurus,Cretaceous,herbivore,Thail,라차시마사우루스,Asia
Rayososaurus,Cretaceous,herbivore,South America,라요소사우루스,South America
Rebbachisaurus,Cretaceous,herbivore,Morocco,레바키사우루스,Africa
Regnosaurus,Cretaceous,herbivore,England,레그노사우루스,Europe
Rhabdodon,Cretaceous,herbivore,France,라브도돈,Europe
Rhadinosaurus,Cretaceous,herbivore,etc,라디노사우루스,etc
Rhoetosaurus,Jurassic,herbivore,Australia,레토사우루스,Australia
Riabininohadros,Cretaceous,herbivore,Russia,리아비니노하드로스,Asia
Richardoestesia,Cretaceous,carnivore,North America,리처드에스테시아,North America
Rinchenia,Cretaceous,omnivore,Mongolia,린케니아,Asia
Rinconsaurus,Cretaceous,herbivore,South America,린콘사우루스,South America
Riojasaurus,Triassic,herbivore,South America,리오하사우루스,South America
Rocasaurus,Cretaceous,herbivore,South America,로카사우루스,South America
Ronaldoraptor,Cretaceous,omnivore,Mongolia,로날도랩토르,Asia
Rubeosaurus,Cretaceous,herbivore,North America,루베오사우루스,North America
Ruehleia,Triassic,herbivore,Germany,르렐라,Europe
Rugops,Cretaceous,carnivore,Niger,루곱스,Africa
Rukwatitan,Cretaceous,herbivore,Tanzania,루크와티탄,Africa
Ruyangosaurus,Cretaceous,herbivore,China,루양사우루스,Asia
Sahaliyania,Cretaceous,herbivore,China,사할리아니아,Asia
Saichania,Cretaceous,herbivore,Mongolia,사이카니아,Asia
Saltasaurus,Cretaceous,herbivore,South America,살타사우루스,South America
Saltriovenator,Jurassic,carnivore,etc,살트리오베나토르,etc
Sanchusaurus,Cretaceous,herbivore,Japan,산추사우루스,Asia
Sangonghesaurus,Jurassic,herbivore,China,상곤회사우루스,Asia
Sanjuansaurus,Triassic,carnivore,South America,산후안사우루스,South America
Sanpasaurus,Jurassic,herbivore,China,산파사우루스,Asia
Santanaraptor,Cretaceous,carnivore,South America,산타나랩토르,South America
Sarahsaurus,Jurassic,herbivore,North America,사라사우루스,North America
Sarcolestes,Jurassic,herbivore,England,사르코레스테스,Europe
Sarcosaurus,Jurassic,carnivore,England,사르코사우루스,Europe
Sarmientosaurus,Cretaceous,herbivore,South America,살미엔토사우루스,South America
Saturnalia,Triassic,herbivore,South America,사투르나리아,South America
Saurolophus,Cretaceous,herbivore,Mongolia,사우롤로푸스,Asia
Saurolophus,Cretaceous,herbivore,North America,사우롤로푸스,North America
Sauroniops,Cretaceous,carnivore,Morocco,사우로니옵스,Africa
Sauropelta,Cretaceous,herbivore,North America,사우로펠타,North America
Saurophaganax,Jurassic,carnivore,North America,사우로파가낙스,North America
Sauroplites,Cretaceous,herbivore,China,사우로플리테스,Asia
Sauroposeidon,Cretaceous,herbivore,North America,사우로포세이돈,North America
Saurornithoides,Cretaceous,carnivore,Mongolia,사우로니토이데스,Asia
Saurornitholestes,Cretaceous,carnivore,North America,사우로니톨레스테스,North America
Savannasaurus,Cretaceous,herbivore,Australia,사반나사우루스,Australia
Scansoriopteryx,Jurassic,carnivore,China,스칸소리옵테릭스,Asia
Scelidosaurus,Jurassic,herbivore,England,셀리도사우루스,Europe
Scipionyx,Cretaceous,carnivore,etc,스키피오닉스,etc
Sciurumimus,Jurassic,carnivore,Germany,스쥬루미무스,Europe
Scolosaurus,Cretaceous,herbivore,North America,스콜로사우루스,North America
Scutellosaurus,Jurassic,herbivore,North America,스쿠텔로사우루스,North America
Secernosaurus,Cretaceous,herbivore,South America,세케르노사우루스,South America
Segisaurus,Jurassic,carnivore,North America,세기사우루스,North America
Segnosaurus,Cretaceous,herbivore,Mongolia,세그노사우루스,Asia
Seitaad,Jurassic,herbivore,North America,세이타드,North America
Sellacoxa,Cretaceous,herbivore,England,셀라코사우루스,Europe
Serendipaceratops,Cretaceous,herbivore,Australia,세렌디파세라톱스,Australia
Shamosaurus,Cretaceous,herbivore,Mongolia,샤모사우루스,Asia
Shanag,Cretaceous,carnivore,Mongolia,샤낭,Asia
Shantungosaurus,Cretaceous,herbivore,China,산퉁오사우루스,Asia
Shanxia,Cretaceous,herbivore,China,산시아,Asia
Shanyangosaurus,Cretaceous,unknown,China,산양고사우루스,Asia
Shaochilong,Cretaceous,carnivore,China,샤오치룽,Asia
Shenzhousaurus,Cretaceous,herbivore,China,센저사우루스,Asia
Shidaisaurus,Jurassic,carnivore,China,시다이사우루스,Asia
Shishugounykus,Jurassic,carnivore,China,시수고우니쿠스,Asia
Shixinggia,Cretaceous,omnivore,China,시신가,Asia
Shuangmiaosaurus,Cretaceous,herbivore,China,슈앙미아우사우루스,Asia
Shunosaurus,Jurassic,herbivore,China,슈노사우루스,Asia
Shuvuuia,Cretaceous,carnivore,Mongolia,슈부위아,Asia
Siamodon,Cretaceous,herbivore,Thail,시아모돈,Asia
Siamosaurus,Cretaceous,carnivore,Thail,시아모사우루스,Asia
Siamotyrannus,Cretaceous,carnivore,Thail,시아모티라누스,Asia
Siamraptor,Cretaceous,carnivore,Thail,시아랩토르,Asia
Siats,Cretaceous,carnivore,North America,시아츠,North America
Sigilmassasaurus,Cretaceous,carnivore,Morocco,시길마사우루스,Africa
Siluosaurus,Cretaceous,herbivore,China,실루오사우루스,Asia
Silvisaurus,Cretaceous,herbivore,North America,실비사우루스,North America
Similicaudipteryx,Cretaceous,omnivore,China,시밀리카우디테릭스,Asia
Sinocalliopteryx,Cretaceous,carnivore,China,시노칼리옵테릭스,Asia
Sinoceratops,Cretaceous,herbivore,China,시노세라톱스,Asia
Sinocoelurus,Jurassic,carnivore,China,시노코엘루루스,Asia
Sinopliosaurus,Cretaceous,carnivore,China,시노플리오사우루스,Asia
Sinornithoides,Cretaceous,carnivore,China,시노르니토이데스,Asia
Sinornithomimus,Cretaceous,omnivore,China,시노르니토미무스,Asia
Sinornithosaurus,Cretaceous,carnivore,China,시노르니토사우루스,Asia
Sinosauropteryx,Cretaceous,carnivore,China,시노사우로프테릭스,Asia
Sinosaurus,Triassic,carnivore,China,시노사우루스,Asia
Sinotyrannus,Cretaceous,carnivore,China,시노티라누스,Asia
Sinovenator,Cretaceous,carnivore,China,시노베나토르,Asia
Sinraptor,Jurassic,carnivore,China,시노랩토르,Asia
Sinusonasus,Cretaceous,carnivore,China,시누소나쿠스,Asia
Sirindhorna,Cretaceous,herbivore,Thail,시린도르나,Asia
Skorpiovenator,Cretaceous,carnivore,South America,스코르피오베나토르,South America
Sonidosaurus,Cretaceous,herbivore,China,소니도사우루스,Asia
Sonorasaurus,Cretaceous,herbivore,North America,소노라사우루스,North America
Soriatitan,Cretaceous,herbivore,Spain,소리아티탄,Europe
Sphaerotholus,Cretaceous,herbivore,North America,스페로톨루스,North America
Spinophorosaurus,Jurassic,herbivore,Niger,스피노포로사우루스,Africa
Spinops,Cretaceous,herbivore,North America,스피노프스,North America
Spinosaurus,Cretaceous,carnivore,Egypt,스피노사우루스,Africa
Spinostropheus,Jurassic,carnivore,Niger,스피노스트로페우스,Africa
Staurikosaurus,Triassic,carnivore,South America,스타우리코사우루스,South America
Stegoceras,Cretaceous,herbivore,North America,스테고세라스,North America
Stegopelta,Cretaceous,herbivore,North America,스테고펠타,North America
Stegosaurides,Cretaceous,herbivore,China,스테고사우리데스,Asia
Stegosaurus,Jurassic,herbivore,North America,스테고사우루스,North America
Stegosaurus,Jurassic,herbivore,Portugal,스테고사우루스,Europe
Stenonychosaurus,Cretaceous,carnivore,North America,스테노니코사우루스,North America
Stenopelix,Cretaceous,herbivore,Germany,스테노펠릭스,Europe
Stephanosaurus,Cretaceous,herbivore,North America,스테파노사우루스,North America
Stokesosaurus,Jurassic,carnivore,North America,스토케소사우루스,North America
Streptospondylus,Jurassic,carnivore,France,스트렙토스폰디루스,Europe
Struthiomimus,Cretaceous,omnivore,North America,스트루디오미무스,North America
Struthiosaurus,Cretaceous,herbivore,etc,스트루디오사우루스,etc
Stygimoloch,Cretaceous,herbivore,North America,스티기몰로크,North America
Styracosaurus,Cretaceous,herbivore,North America,스티라코사우루스,North America
Suchomimus,Cretaceous,carnivore,Niger,수코미무스,Africa
Suchosaurus,Cretaceous,carnivore,England,수코사우루스,Europe
Sugiyamasaurus,Cretaceous,herbivore,Japan,스기야마사우루스,Asia
Sulaimanisaurus,Cretaceous,herbivore,Pakistan,수라이마니사우루스,Asia
Supersaurus,Jurassic,herbivore,North America,수퍼사우루스,North America
Suskityrannus,Cretaceous,carnivore,North America,수스키티란누스,North America
Suuwassea,Jurassic,herbivore,North America,수와세아,North America
Suzhousaurus,Cretaceous,herbivore,China,수저사우루스,Asia
Szechuanoraptor,Jurassic,herbivore,China,스제쿠아노랩토르,Asia
Szechuanosaurus,Jurassic,carnivore,China,스제쿠아노사우루스,Asia
Talarurus,Cretaceous,herbivore,Mongolia,탈라루루스,Asia
Talenkauen,Cretaceous,herbivore,South America,탈렌카우엔,South America
Talos,Cretaceous,carnivore,North America,탈로스,North America
Tambatitanis,Cretaceous,herbivore,Japan,탐바티타니스,Asia
Tangvayosaurus,Cretaceous,herbivore,etc,탕바요사우루스,etc
Tanius,Cretaceous,herbivore,China,타니우스,Asia
Tanycolagreus,Jurassic,carnivore,North America,타닥콜라그레우스,North America
Tanystrosuchus,Triassic,carnivore,Germany,타니스트로수쿠스,Europe
Taohelong,Cretaceous,herbivore,China,타오헬롱,Asia
Tapuiasaurus,Cretaceous,herbivore,South America,타푸이아사우루스,South America
Tarascosaurus,Cretaceous,carnivore,France,타라스코사우루스,Europe
Tarbosaurus,Cretaceous,carnivore,Mongolia,타르보사우루스,Asia
Tarchia,Cretaceous,herbivore,Mongolia,타르키아,Asia
Tastavinsaurus,Cretaceous,herbivore,Spain,타스타빈사우루스,Europe
Tatankacephalus,Cretaceous,herbivore,North America,타탄카세팔루스,North America
Tatankaceratops,Cretaceous,herbivore,North America,타탄카세라톱스,North America
Tataouinea,Cretaceous,herbivore,etc,타타오이네아,etc
Tatisaurus,Jurassic,herbivore,China,타티사우루스,Asia
Taurovenator,Cretaceous,carnivore,South America,타우로베나토르,South America
Taveirosaurus,Cretaceous,herbivore,Portugal,타베이로사우루스,Europe
Tawa,Triassic,carnivore,North America,타와,North America
Tazoudasaurus,Jurassic,herbivore,Morocco,타조우다사우루스,Africa
Tehuelchesaurus,Jurassic,herbivore,South America,테휠체사우루스,South America
Teinurosaurus,Jurassic,carnivore,Portugal,테이누로사우루스,Europe
Telmatosaurus,Cretaceous,herbivore,Romania,텔마토사우루스,Europe
Tendaguria,Jurassic,herbivore,Tanzania,텐다구리아,Africa
Tengrisaurus,Cretaceous,herbivore,Russia,텡그리사우루스,Asia
Tenontosaurus,Cretaceous,herbivore,North America,테논토사우루스,North America
Teratophoneus,Cretaceous,carnivore,North America,테라토포네우스,North America
Tethyshadros,Cretaceous,herbivore,etc,테티스하드로스,etc
Texacephale,Cretaceous,herbivore,North America,텍사세팔,North America
Texasetes,Cretaceous,herbivore,North America,텍사세테스,North America
Thanos,Cretaceous,carnivore,South America,타노스,South America
Thecocoelurus,Cretaceous,carnivore,England,테코코엘루루스,Europe
Thecodontosaurus,Triassic,herbivore,England,테코돈토사우루스,Europe
Thecospondylus,Cretaceous,carnivore,England,테코스폰디루스,Europe
Theiophytalia,Cretaceous,herbivore,North America,테이오피탈리아,North America
Therizinosaurus,Cretaceous,herbivore,Mongolia,테리지노사우루스,Asia
Therosaurus,Cretaceous,herbivore,England,테로사우루스,Europe
Thescelosaurus,Cretaceous,herbivore,North America,테스켈로사우루스,North America
Thespesius,Cretaceous,herbivore,North America,테스페시우스,North America
Thotobolosaurus,Triassic,herbivore,etc,토토볼로사우루스,etc
Tianchisaurus,Jurassic,herbivore,China,티안치사우루스,Asia
Tianyulong,Jurassic,omnivore,China,티안율롱,Asia
Tianyuraptor,Cretaceous,carnivore,China,티안유랍토르,Asia
Tianzhenosaurus,Cretaceous,herbivore,China,티안젠사우루스,Asia
Tichosteus,Jurassic,herbivore,North America,티코스테우스,North America
